current_title,decision,new_title,description,tags,first_image_direction
"Silver Charm Necklace: Handmade Boho Sun, Leaf, Geometric Pendants","reframe","Silver Charm Necklace, Dainty Layering Jewelry, Minimal Boho Pendant Gift for Her","A silver charm necklace with a delicate layered look and soft boho detail for everyday wear. Easy to style alone or with finer chains, it makes a thoughtful gift for women who like subtle statement jewelry.","silver charm necklace|dainty necklace|layering jewelry|minimalist necklace|boho pendant|gift for her|everyday jewelry|silver necklace|charm jewelry|women necklace|delicate jewelry|birthday gift|handmade necklace","Clean close-up on pale stone, charms centered, no props"
"Gold Figaro Chain Necklace: Handmade Unisex Layering Jewelry","hero","Gold Figaro Chain Necklace, Minimal Layering Chain, Everyday Gold Jewelry","A polished gold figaro chain designed for effortless daily wear and clean layering. Its simple profile gives outfits a refined finish while staying versatile enough for gifting.","gold figaro chain|minimal gold necklace|layering chain|everyday jewelry|gold chain necklace|unisex necklace|quiet luxury jewelry|gift for her|gift for him|dainty chain|18k style necklace|minimalist jewelry|daily necklace","Collarbone crop showing chain shine and proportion"
"Layered Pearl Turquoise Necklace, Coastal Summer Jewelry, Minimalist Luxury (Gift for Her)","reframe","Layered Pearl Turquoise Necklace, Coastal Luxury Jewelry, Summer Gift for Her","A layered pearl and turquoise necklace that brings a refined coastal accent to summer outfits. The mix of soft pearls and color makes it giftable, feminine, and easy to wear from day to evening.","layered pearl necklace|turquoise necklace|coastal jewelry|summer necklace|gift for her|pearl jewelry|minimalist luxury|beaded necklace|vacation jewelry|bridesmaid necklace|beach wedding jewelry|dainty jewelry|women necklace","Bright neckline photo with white linen"
"Pearl Beaded Necklace, Gold Dragonfly Pendant, Coastal Summer Jewelry, Gift for Her","reframe","Pearl Beaded Necklace with Gold Dragonfly Pendant, Coastal Gift for Her","A pearl beaded necklace with a delicate dragonfly pendant for a feminine coastal look. It feels light, elegant, and meaningful enough for summer gifting or everyday styling.","pearl beaded necklace|dragonfly necklace|coastal jewelry|gift for her|summer jewelry|pearl necklace|gold pendant necklace|meaningful jewelry|dainty necklace|vacation necklace|bridal shower gift|women jewelry|layering necklace","Macro on pearl texture plus pendant clarity"
"Gold Holding Hands Necklace, Minimalist Couple Necklace, Meaningful Pendant Jewelry, Romantic Gift for Her","hero","Gold Holding Hands Necklace, Meaningful Couple Pendant, Romantic Gift for Her","A meaningful gold holding-hands necklace that symbolizes closeness, love, and connection. Designed as a delicate everyday pendant, it is especially strong for anniversaries, partners, and thoughtful gifting.","holding hands necklace|couple necklace|meaningful necklace|romantic gift|gift for her|anniversary gift|gold pendant necklace|love necklace|minimalist jewelry|sentimental jewelry|partner gift|dainty necklace|relationship gift","Pendant close-up beside gift box"
"Gold Sacred Heart Necklace, Vintage Romantic Pendant, Old Money Jewelry, Meaningful Gift for Her","hero","Gold Sacred Heart Necklace, Vintage Romantic Pendant, Meaningful Gift for Her","A gold sacred heart necklace with vintage romance and polished feminine character. It adds a refined statement to daily outfits and works beautifully as a meaningful gift.","sacred heart necklace|gold heart necklace|vintage pendant|romantic jewelry|gift for her|meaningful necklace|old money jewelry|gold pendant necklace|feminine jewelry|anniversary gift|heart jewelry|layering necklace|elegant necklace","Warm ivory flat lay, pendant large in frame"
"Minimal Pearl Choker, Dainty Gold Accent Necklace, Elegant Timeless Jewelry","hero","Minimal Pearl Necklace, Dainty Gold Choker, Quiet Luxury Jewelry, Gift for Her","A minimal pearl necklace with a delicate gold accent for a quiet luxury finish. Elegant, feminine, and easy to repeat, it is the kind of piece that works with both everyday looks and dressier moments.","minimal pearl necklace|pearl choker|quiet luxury jewelry|dainty necklace|gift for her|timeless jewelry|elegant necklace|bridesmaid jewelry|everyday necklace|pearl jewelry|minimalist jewelry|women necklace|classic necklace","On-model neckline against cream knit"
"Turquoise Beaded Necklace with Gold Accents – Handmade Boho Jewelry","reframe","Turquoise Beaded Necklace with Gold Accents, Summer Layering Jewelry","A turquoise beaded necklace with polished gold accents for bright, easy summer layering. It brings color to minimalist outfits while keeping the overall look refined.","turquoise necklace|beaded necklace|summer jewelry|gold accent necklace|layering jewelry|coastal necklace|vacation jewelry|gift for her|boho jewelry|dainty necklace|women necklace|beach jewelry|handmade necklace","Sunlit close-up on white linen"
"Turquoise Beaded Choker Necklace with Gold Butterfly Charm - Luxury Boho Jewelry","reframe","Turquoise Beaded Choker with Gold Butterfly Charm, Summer Gift for Her","A turquoise beaded choker finished with a feminine gold butterfly charm. Fresh, playful, and polished, it is a strong summer gift piece with a soft luxury feel.","turquoise choker|butterfly necklace|summer gift|gift for her|beaded necklace|coastal jewelry|dainty necklace|women jewelry|layering necklace|vacation jewelry|gold charm necklace|boho jewelry|summer necklace","Butterfly detail close-up, white background"
"Gold Heart ""Thank You"" Layered Necklace - Adjustable Length","hero","Gold Heart Layered Necklace, Thank You Gift for Her, Meaningful Jewelry","A gold heart layered necklace made for thoughtful gifting and everyday sentiment. The adjustable style adds an elegant finish while keeping the message personal.","gold heart necklace|thank you gift|gift for her|meaningful jewelry|layered necklace|heart pendant|sentimental gift|adjustable necklace|birthday gift|teacher gift|friend gift|minimalist jewelry|women necklace","Gift-ready hero with card tucked beneath"
